secid,exdate,0
8170,20180615,20.17248644893764
100862,20181221,38.99591576210837
100863,20180420,48.15143744330868
100863,20181019,41.366785760539145
100885,20181221,21.65952682517039
100892,20180202,90.53448920716818
100892,20180427,44.518942859509345
100892,20180727,42.45389595306679
100892,20181026,43.79536355981073
100972,20180126,57.751096581428065
100972,20180420,57.84356231438921
100972,20180720,62.646382965637606
100972,20181019,68.95225602489901
100974,20180309,21.09905735379452
100974,20180601,25.023589565566827
100974,20180831,27.951539088688026
100974,20181130,13.653282771953837
100985,20180316,
101059,20180216,56.58027954058565
101062,20180316,220.17219628192834
101062,20180615,251.4147979744166
101062,20180914,260.75308881914094
101062,20181214,238.72753461566745
101067,20180119,19.498713613786325
101067,20180420,14.678224932324024
101067,20180720,15.0260361451296
101067,20181019,16.889577574313066
101121,20180202,12.386380269508157
101121,20180427,9.065590535489422
101121,20180727,16.011008514345026
101121,20181026,23.56684329454179
101176,20180209,65.21083426339659
101176,20180504,70.18945678703493
101176,20180803,79.59229001170617
101176,20181102,63.16340476229431
101190,20180316,
101210,20180209,116.97145426993609
101210,20180427,107.13156418400789
101210,20180727,132.8398824659038
101210,20181026,126.93925821710855
101218,20180216,31.296950722411914
101270,20180216,13.35349464445755
101310,20180202,1371.7211650532913
101310,20180427,1519.5535401903367
101310,20180727,1808.867576281752
101310,20181026,1777.0510270289767
101341,20180216,15.548190308802194
101367,20180216,47.466006723715175
101375,20180119,98.88121857236379
101375,20180420,93.25196315155787
101375,20180720,98.39287477423458
101375,20181019,102.81675730427605
101397,20180209,62.13081679421998
101397,20180504,55.86870598417689
101397,20180803,53.96133721622506
101397,20181102,41.82471354665069
101416,20180119,50.6516733121769
101416,20180420,34.10332079425639
101416,20180720,40.02029316155475
101416,20181019,34.354704947317146
101456,20180316,19.02602757041021
101477,20180126,54.54233311391348
101477,20180427,60.51823608569204
101477,20180727,56.999223379438845
101477,20181026,50.31323657585771
101508,20180202,195.03833880779206
101508,20180427,169.96496155226464
101508,20180727,190.3583577402397
101508,20181102,184.75583796966941
101510,20180216,9.003586495513963
101516,20180316,9.877479501258913
101533,20180209,58.954715513551555
101533,20180504,66.83614673517067
101533,20180803,71.70815609311482
101533,20181102,59.44784446834901
101535,20180302,90.63073616429966
101535,20180601,93.9352897114524
101535,20180824,94.65447829763316
101535,20181123,89.39434625797689
101545,20180216,29.287055587400747
101574,20180316,5.140237964178347
101580,20180223,36.71848246407223
101580,20180504,39.9540900790017
101580,20180803,44.886726878903964
101580,20181102,37.80393664871248
101587,20180921,47.54616527920611
101587,20181221,29.152461375011264
101594,20180202,165.8170696319981
101594,20180504,157.96221269779176
101594,20180803,190.1234774901967
101594,20181102,216.95977401919038
101610,20180216,48.17224240242054
101610,20180518,53.5685460764188
101610,20180817,47.787812809120034
101610,20181116,32.66542350217422
101622,20180216,78.41515129547986
101639,20180209,41.286506244139915
101639,20180504,45.33370344446718
101639,20180803,46.216379655625815
101639,20181109,47.96033316103304
101647,20180316,42.42270333007003
101647,20180511,42.89493688115623
101647,20180810,38.52902566398949
101647,20181109,37.56970011760333
101674,20180817,12.048569943995123
101806,20180302,725.981240609728
101806,20180525,648.9001279701426
101806,20180921,746.7136306962301
101806,20181207,805.5353913040632
101838,20180316,
101849,20180216,1.8676855895196514
101849,20180504,2.421972357539369
101849,20180803,1.2772063702720637
101849,20181102,1.3101858419633998
101915,20180420,42.82703939176904
101915,20180720,43.59519988125872
101915,20181019,44.92883147832415
101931,20180316,
101978,20180119,9.951049435452216
101979,20180119,50.598518123980725
102019,20180216,57.92480560317429
102038,20180119,36.060003835558206
102043,20180202,71.01739140308591
102043,20180427,66.88601860988175
102043,20180727,74.70706438871014
102043,20181102,67.34336834775297
102064,20181116,9.515086379076074
102067,20180209,236.93817486083273
102067,20180504,232.9381692796535
102067,20180803,249.76154447544184
102067,20181109,234.86147164244107
102068,20180413,20.31228938224779
102068,20180629,18.423429555963455
102068,20180928,17.91350119372685
102235,20180413,521.4195728801819
102235,20180720,505.9690822406823
102235,20181019,428.69921007801435
102244,20180615,29.39665740819489
102265,20180202,341.0947784602207
102265,20180427,339.472103514178
102265,20180727,354.3119063897774
102265,20181026,356.3936443687617
102296,20180202,27.97456239599002
102296,20180427,28.358719277158787
102296,20180727,33.13745239031955
102296,20181026,36.68958520129449
102339,20180817,15.635973263624223
102349,20180209,63.075730219229285
102349,20180427,50.315632396769665
102349,20180727,55.79977349462751
102349,20181026,54.307652436016795
102472,20180921,149.54750757654364
102525,20180202,223.63671758228006
102525,20180504,173.68865777210962
102525,20180803,176.66319059266107
102525,20181102,206.53695318097056
102536,20180216,42.386365418656
102550,20180420,25.290409666063933
102550,20180720,28.278139086894942
102550,20181019,24.883969261541225
102571,20180119,58.733653894734516
102571,20180420,54.282413852629624
102571,20180720,64.39789417265894
102571,20181019,69.1903885619345
102598,20180817,175.79423774200063
102609,20180105,45.425208366508436
102609,20180727,48.04137589280407
102609,20181005,48.504838538496784
102617,20181221,13.395174438099218
102660,20180216,43.48771245867769
102660,20180518,37.74240071345044
102660,20180831,40.63028409320438
102660,20181123,38.5991158087279
102702,20180126,101.5379858049836
102702,20180427,96.87875484757859
102702,20180720,93.5125942449298
102702,20181026,93.67573992942778
102772,20180615,90.24943041320705
102796,20180126,167.65651715710084
102796,20180427,147.90084062341901
102796,20180803,140.43114069982366
102796,20181026,130.85015269466246
102797,20180420,41.025279869112325
102797,20180720,38.40655583609474
102797,20181019,38.96514647963964
102822,20180126,99.49075604683227
102822,20180504,90.1532356632073
102822,20180727,83.67971845244584
102822,20181026,81.43787912255438
102885,20180216,15.823939682007968
102885,20180511,16.032807742392652
102885,20180810,16.317401982928445
102885,20181109,20.95044256091678
102921,20180216,45.390283377818164
102952,20180216,249.45516132952585
102952,20180420,282.46254541420484
102959,20180420,
102959,20180615,
102979,20180518,127.58623810018035
102979,20180824,130.29485557878712
102979,20181207,127.93032530177267
103022,20180309,23.098203444839335
103022,20180601,24.54528412935759
103022,20180831,27.2111633002807
103022,20181214,31.217914583232925
103038,20180622,70.75666704814313
103038,20180928,75.54743428289913
103038,20181221,57.98736263442675
103041,20180209,46.99803027670092
103041,20180504,35.34372532338588
103041,20180803,40.28451405088299
103041,20181102,36.07919315960082
103042,20180216,40.728386584496086
103042,20180518,45.17497543677591
103042,20180817,42.96650382661869
103042,20181116,47.07222646989726
103046,20180720,192.429734039697
103046,20181221,167.6114421141488
103047,20180119,21.86198238950957
103047,20180420,22.07314573494991
103047,20180720,28.644255573940608
103047,20181019,23.242900002343557
103067,20180420,68.63410817467353
103067,20180720,77.9009246460976
103098,20180126,8.144015777252362
103098,20180420,6.550413569931579
103098,20180720,8.358742464710216
103098,20181019,13.065285182924326
103106,20180202,141.05305162870428
103106,20180504,117.18346846328276
103106,20180803,131.2197993929765
103106,20181102,144.21001661238918
103125,20180216,43.463490819672366
103125,20180427,43.693727616774666
103125,20180727,44.804843464366144
103125,20181102,46.20260002179383
103126,20180216,35.82398576804231
103134,20180216,54.55863834843957
103138,20180209,74.67102475515821
103138,20180511,81.89396034516258
103138,20180803,80.70713953976211
103138,20181102,71.86406796003301
103157,20180126,75.46626339951406
103157,20180427,65.31685954505973
103157,20180727,65.87347944415832
103157,20181026,64.62513273158906
103209,20180119,59.64440927584964
103255,20180302,4.834905042956992
103255,20180504,3.5814009467658976
103255,20180727,2.740205650946268
103255,20181102,2.658525053157823
103313,20181221,28.55087413823276
103345,20180316,48.18385899686213
103355,20180216,75.79129415225881
103355,20180504,79.83955435338572
103355,20180803,78.3490978885589
103355,20181102,76.39767756198542
103373,20180216,
103373,20180420,
103373,20181019,
103406,20180921,61.974100202123374
103434,20180202,33.76964551908495
103434,20180427,28.118639931844633
103434,20180727,28.47149615937403
103434,20181026,31.294393313132836
103517,20180126,35.8603568485223
103517,20180427,40.42828953359581
103517,20180817,48.615469855191435
103517,20181019,34.30170830298906
103546,20180420,48.94129588890857
103546,20180720,43.99051568750377
103546,20181019,45.54984928779483
103564,20181116,66.93702530742917
103570,20180615,29.933123858859496
103622,20180316,1.9666209419295844
103654,20180216,98.59798241488275
103682,20180921,116.26817927106433
103682,20181221,100.57817951163416
103694,20180720,8.85093353546637
103694,20181116,12.346927193760408
103729,20180202,83.77940679170416
103736,20180216,148.1879801971271
103736,20180518,143.48824736353194
103736,20180817,135.26811208429405
103736,20181123,143.0530230842955
103802,20180223,32.38319593803331
103802,20180504,35.235364288050214
103802,20180803,44.17873943931516
103802,20181109,32.78304909367683
103821,20180216,11.790089641434259
103828,20180216,14.379166518237428
103832,20181116,10.444141427959325
103861,20180302,68.55360293687315
103861,20180518,69.46504563474082
103861,20180817,86.48849308887424
103861,20181116,75.31674233201765
103879,20180209,107.63470466253435
103879,20180511,99.07784520298965
103879,20180810,113.77423947424583
103879,20181109,115.49371389839344
103908,20180309,102.94759234681088
103908,20180601,94.63818351292191
103908,20180831,90.39780089168092
103908,20181130,82.75590656024556
103932,20180202,104.33512276006215
103932,20180427,96.32322613320179
103932,20180720,74.55929779893108
103932,20181019,83.17100220482791
103981,20180216,107.19285605474778
104059,20180302,108.49670585724886
104059,20180504,117.30473312826877
104059,20180803,129.52881897751328
104059,20181102,104.42665979485005
104112,20180420,56.19787841015541
104112,20180720,61.409133563584994
104112,20181019,51.27427246611561
104124,20180202,85.9703200331773
104124,20180504,75.97011526037969
104124,20180803,80.85458329186281
104124,20181102,71.33376370295291
104146,20180223,45.30799765848566
104146,20180511,33.62393665564917
104146,20180803,29.5564126067258
104146,20181109,31.657604584276026
104185,20180202,125.88649595171617
104185,20180427,135.51349919447418
104185,20180727,145.8343044400584
104185,20181026,141.6441166705443
104286,20180209,70.16247189341034
104286,20180504,67.82944935830623
104286,20180810,70.78256840906603
104286,20181109,69.07761279724618
104318,20180302,6.8144001137617956
104318,20180511,4.446422100107578
104318,20180810,11.593413531952333
104318,20181109,15.078787735171364
104351,20181221,17.369166868158786
104373,20180316,5.4717898832684835
104411,20180302,115.17572388087278
104411,20180427,118.13189800207171
104411,20180727,126.17356323043376
104411,20181026,123.13880977886372
104415,20180216,423.1491503524651
104416,20180216,44.3545776206602
104436,20180420,13.13209855551686
104436,20180817,12.129915043013746
104439,20181116,63.73095034608011
104521,20180420,78.42127715903439
104521,20180720,48.56585636255476
104521,20181019,45.59689091089674
104522,20180302,76.75926343393859
104522,20180504,76.2268594320139
104522,20180803,79.51702351434581
104522,20181102,94.43037119557327
104530,20181116,8.554890448508022
104548,20180216,43.39721570141879
104550,20180216,83.86995507552183
104610,20180420,12.975352112676058
104610,20180720,14.523809523809527
104618,20180119,51.70604064420499
104635,20180323,253.6620229892273
104635,20180622,263.39547455796355
104635,20180921,255.1889961477497
104635,20181221,184.2233112908567
104644,20180126,136.8478911254711
104644,20180427,149.03610606597894
104644,20180727,171.02036556967536
104644,20181026,159.1718025285428
104658,20180119,20.322059052791516
104658,20180420,21.577866117166074
104658,20180720,21.629488730407285
104658,20181019,20.470338224037164
104664,20180720,26.023538308765584
104681,20180615,15.612068828491648
104681,20180907,19.246742406394144
104681,20181207,22.75218308940384
104767,20180119,26.49620130992641
104767,20180420,28.404056041972474
104767,20180720,29.058267177339374
104767,20181019,22.697539329295807
104820,20180119,25.90686420221131
104842,20180119,49.96751029737931
104842,20180420,47.9853802622988
104842,20180720,52.74563309556444
104842,20181019,47.898072732920824
104912,20180511,2.5514211380188225
104912,20180810,3.141596183520739
104912,20181109,1.3722288423822637
104939,20180126,11.938080527879384
104939,20180427,10.45154470376209
104939,20180727,10.087465911076919
104939,20181026,8.176142842624111
104964,20180216,8.328501886941618
104964,20180511,14.320528346179845
104964,20180810,28.60810494091778
104964,20181109,22.468463919127068
104998,20180615,
105003,20180126,18.7337295612418
105003,20180427,18.97879973069176
105003,20180727,15.894301918756813
105003,20181026,11.766166809665638
105038,20180316,
105038,20180817,
105038,20181116,
105048,20180420,18.551154853038067
105048,20180720,16.738845096373602
105048,20181019,12.772451600392701
105120,20180302,32.18933341662252
105120,20180525,31.919156521369644
105120,20180824,32.047204076817806
105120,20181123,26.06943771191926
105160,20180216,9.949717015735478
105168,20180126,211.07995262242693
105168,20180427,223.57070657270899
105168,20180727,192.8283943571664
105168,20181026,189.88248709557826
105169,20180126,15.444399696388507
105169,20180420,13.586215207769797
105169,20180720,13.438403767621761
105169,20181102,9.997175296207644
105174,20180921,49.41305890111994
105174,20181221,34.02958612584939
105179,20180316,37.5039171670678
105186,20180420,24.300826010909326
105186,20180720,21.24896916473451
105186,20181019,19.17739490867913
105206,20180223,99.459563707212
105206,20180420,91.48770514117072
105206,20180720,93.31883697588036
105206,20181019,97.01957162550576
105233,20180316,1.3791806840793668
105233,20181102,6.026041359072186
105340,20180209,34.13645179917157
105340,20180427,26.836936439405157
105340,20180727,20.93612850425036
105340,20181026,19.37759941438019
105356,20180126,230.08439955833387
105356,20180420,279.7319607881969
105356,20180720,311.92672208042507
105356,20181019,316.9058588487235
105386,20180420,49.51796420740944
105386,20180720,53.39926813747768
105386,20181019,50.28019148022506
105463,20180803,11.089593781819884
105463,20181102,8.330771924946738
105512,20180126,52.324884555788564
105512,20180427,51.566925902151226
105512,20180727,44.72986462499137
105512,20181026,37.15645957917097
105527,20180119,52.52023610953108
105527,20180420,50.511289049483516
105554,20180216,17.08405288370787
105588,20180209,92.71344675725015
105588,20180427,83.32981604482505
105588,20180727,91.76351893717839
105588,20181026,97.49027481607713
105602,20180216,30.331344516776433
105612,20180420,40.7571554967125
105612,20180720,39.827531499380264
105612,20181019,36.73538927712768
105656,20180216,19.9812090417981
105656,20180720,20.94698260519988
105656,20181019,17.935235928780095
105663,20180216,3.541255677429325
105663,20180511,3.6881554662173537
105663,20180810,2.8715791585230406
105663,20181109,2.221528604378404
105665,20181221,76.23262995367988
105675,20181116,62.425129470643604
105696,20180202,110.38212255032607
105696,20180427,93.84519501304393
105696,20180727,91.40097258439519
105696,20181026,104.91349690023843
105707,20180316,21.150747213761107
105759,20180223,189.42840601608853
105759,20180518,189.56903647600598
105759,20180817,200.7822083859133
105759,20181116,184.74680660451682
105800,20180223,35.07305832165694
105800,20180525,36.760869588209076
105800,20180824,38.82549269455855
105800,20181123,45.43376826926778
105833,20180209,275.0909708631365
105833,20180504,297.2413072167205
105833,20180803,316.1963471420855
105833,20181109,323.5645912238407
105843,20180119,126.95074126011261
105843,20180420,110.62634245455254
105843,20180720,118.03512092203775
105843,20181019,108.09102459606058
105955,20180216,48.29481073397815
105985,20180126,172.14100818718848
105985,20180427,155.50236759088793
105985,20180727,145.28831052820175
105985,20181026,127.04976118534789
105986,20180202,243.15084727231974
105986,20180427,243.805034124861
105986,20180803,301.5738842372377
105986,20181026,313.27726922477683
106054,20180119,71.77275284939707
106054,20180420,72.13491167903403
106054,20180720,76.72723581809575
106054,20181019,78.22836990980815
106141,20180216,31.85193941701665
106142,20180316,
106203,20180126,44.63426588113428
106203,20180427,50.592064847334
106203,20180727,51.18999031123922
106203,20181026,43.865887789354225
106276,20180119,159.51371651435647
106276,20180420,152.09531847525864
106276,20180720,143.57421236702302
106276,20181019,139.25998753247273
106281,20180216,139.77027081284012
106295,20180202,63.69255130669647
106295,20180427,52.445171048446376
106295,20180727,52.100201976779324
106295,20181026,42.10688124731171
106329,20180216,21.020089697611542
106329,20181019,18.640261844622515
106369,20180126,432.96249524522784
106369,20180420,416.112957896119
106369,20180720,526.3350149750872
106369,20181019,535.3859043282563
106483,20180518,66.226932683868
106566,20180126,145.3342459256178
106566,20180420,130.43971323465777
106566,20180720,124.81127111383098
106566,20181019,134.77036235114574
106581,20180202,28.867493230281628
106581,20180504,24.71634026396665
106581,20180727,28.88441399202262
106581,20181026,28.007252770035656
106625,20180119,111.33236484355525
106625,20180420,111.19710049733008
106625,20180720,106.65288340445461
106625,20181019,103.70543336776741
106674,20180119,22.29153673638761
106674,20180420,19.081722204180675
106674,20180720,19.359716958262226
106674,20181019,17.479290545529025
106689,20180126,114.95788140860564
106689,20180427,99.77481208251318
106689,20180727,102.64620256215794
106689,20181026,110.35468332140925
106723,20180302,65.0602066686505
106723,20180525,63.29825867450715
106723,20180824,74.26298872018246
106723,20181123,72.76289622899122
106736,20180615,52.345252744148
106744,20180309,27.221142427528886
106744,20180622,24.95578290922582
106744,20180914,31.525884508518704
106744,20181207,29.492510547251523
106777,20180817,
106806,20180420,
106806,20181221,9.302145257172405
106808,20180126,205.18726496862882
106808,20180420,202.5685893492361
106808,20180727,171.7025130919841
106808,20181019,140.06297757586603
106857,20180216,
106967,20180202,86.41926605008584
106967,20180427,77.78104466445275
106967,20180727,87.14782248547158
106967,20181109,105.38446726082594
107044,20180216,27.533018889756406
107045,20180302,95.88129857800769
107045,20180525,86.18211417709055
107045,20180824,96.02069770786126
107045,20181123,93.13534114280412
107057,20180216,20.029238297264385
107078,20180302,8.046559368663617
107078,20180511,8.204357787159186
107078,20180810,10.173036610857954
107078,20181109,10.09970054145844
107149,20180420,44.57360375619718
107250,20180420,21.941223493773126
107250,20180720,21.321455009455526
107250,20181019,18.75760179396244
107253,20180216,209.35951170564115
107280,20180202,15.828092665768972
107280,20180427,12.060340751611106
107280,20180727,15.187385344483701
107280,20181026,12.95241586992939
107281,20181116,43.669019321442995
107294,20180216,4.963507849100026
107318,20180202,176.62125695082642
107318,20180504,157.65969186325063
107318,20180727,155.83481722321127
107318,20181026,168.97726087953558
107325,20180202,176.19597329339612
107325,20180525,144.91278761527272
107325,20180727,131.54075029539496
107325,20181026,132.5553452847059
107398,20180223,84.15004646805467
107398,20180525,83.65074772811784
107398,20180824,90.82804968162057
107398,20181123,93.55172338320742
107407,20180119,59.1166524128325
107407,20180420,52.45706426892315
107407,20180720,53.177232096352895
107407,20181019,49.76826388123689
107420,20180119,34.51985844150977
107420,20180420,31.353546188899156
107420,20180720,35.36520223635216
107420,20181019,29.254438758682117
107423,20180216,11.435043815703676
107430,20180202,61.087392434686116
107430,20180504,59.41928872104034
107430,20180727,61.69708860388757
107430,20181026,71.23059806644508
107525,20180202,90.87701099362437
107525,20180427,94.0684544558133
107525,20180720,103.97912746962814
107525,20181026,107.03533181812149
107601,20180921,35.41003065747449
107601,20181221,28.630997029737642
107616,20180126,247.27051865604207
107616,20180427,214.87156797666097
107616,20180727,200.42972337813129
107616,20181026,198.8714502437896
107643,20180420,40.806776073813424
107643,20181019,39.22264306036276
107704,20180119,54.93718188939012
107704,20180420,52.96991167517724
107704,20180720,46.835236263639565
107704,20181019,43.477522332018374
107858,20180316,6.813864378866057
107969,20180216,43.31735864353016
107990,20180720,81.62408591238237
107990,20181221,57.266734279918865
108055,20180216,57.298581056456804
108055,20180525,68.69344097354309
108055,20180817,80.77937834682679
108055,20181116,79.3296060984777
108076,20180216,73.39897203572473
108104,20180518,
108104,20180817,
108104,20181116,
108120,20180216,26.02219461697469
108130,20180223,38.75306166948603
108130,20180427,40.93489060702267
108130,20180727,36.61265849359367
108130,20181026,31.86080763567938
108186,20180126,147.2501581104403
108186,20180427,136.57670579171074
108186,20180727,159.51565581962973
108186,20181026,158.43503467850664
108226,20180420,97.96603856489708
108226,20180720,98.81831705832111
108226,20181019,97.62689978904874
108231,20180126,316.350014137658
108231,20180427,355.36155217746165
108231,20180727,324.5277644206984
108231,20181026,310.4456509180988
108275,20180216,68.49956803079866
108279,20180202,67.4741880541387
108279,20180420,62.768309695972334
108279,20180720,64.04078685805264
108279,20181019,61.524319990097936
108321,20180209,232.1604411608525
108321,20180511,237.36697734886178
108321,20180817,255.1987586926358
108321,20181116,209.58964765600692
108385,20180216,69.7958430804538
108385,20180511,76.94418244886978
108385,20180810,82.7326507985501
108385,20181109,68.06668468329114
108425,20180209,34.96482476506527
108425,20180504,31.17581402747871
108425,20180803,28.51245217130796
108425,20181102,20.874415252925118
108448,20180216,66.2134916739113
108463,20180302,57.585618947058684
108463,20180504,59.84508201101817
108463,20180803,68.94468712281906
108463,20181102,64.24825997428178
108505,20180323,51.24543910648188
108505,20180622,43.438024582068536
108505,20180921,48.75247789420252
108505,20181221,46.635380002807736
108561,20180216,40.01101750922114
108578,20180615,89.11775697970019
108602,20180316,5.970149253731343
108609,20180209,40.88600915010571
108609,20180504,45.659356001068076
108609,20180727,41.233287901618446
108609,20181109,46.941479439900455
108645,20180119,116.0052350803474
108645,20180420,109.49703746166168
108645,20180720,102.14041273342467
108645,20181019,94.73759563324006
108738,20180511,60.12718325432714
108738,20180810,42.165507696956524
108738,20181109,53.62536862709262
108767,20180216,
108769,20180518,
108769,20180817,
108787,20180216,66.97694162166509
108804,20181221,65.18288863390119
108849,20180302,3.8651256592237706
108849,20180518,1.8643602358261477
108849,20180817,1.8728222692710341
108849,20181116,0.8793895933747085
108871,20180119,18.592188176451952
108871,20180420,19.426259541223164
